monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
4759761964979,1781364880,95888289,17.749,0.000
4760001419571,1781364880,335612237,17.749,0.000
4760002027757,1781364880,335947195,17.749,0.000
4760022026202,1781364880,355947240,16.613,0.000
4760042028870,1781364880,375950516,16.180,0.000
4760062025363,1781364880,395945473,17.045,0.000
4760082021823,1781364880,415941901,17.560,0.000
4760102020908,1781364880,435940698,17.560,0.000
4760122027385,1781364880,455952327,17.143,0.000
4760142033574,1781364880,475960980,16.320,0.000
4760162037555,1781364880,495965185,19.857,0.000
4760182027743,1781364880,515950349,19.857,0.000
4760202026379,1781364880,535947514,19.857,0.000
4760222023192,1781364880,555943942,19.567,0.000
4760242033477,1781364880,575960467,19.524,0.000
4760262025969,1781364880,595948576,18.182,0.000
4760282030046,1781364880,615954540,18.052,0.000
4760302030379,1781364880,635952121,18.190,0.000
4760322023319,1781364880,655945413,16.524,0.000
4760342022116,1781364880,675942834,17.714,0.000
4760362032305,1781364880,695956095,17.619,0.000
4760382029917,1781364880,715952940,17.381,0.000
4760402032746,1781364880,735955800,19.048,0.000
4760422035767,1781364880,755962853,22.238,0.000
4760442026179,1781364880,775949009,21.732,0.000
4760462023888,1781364880,795945662,20.905,0.000
4760482023100,1781364880,815944907,20.519,0.000
4760502028329,1781364880,835955256,17.571,0.000
4760522035414,1781364880,855963589,15.974,0.000
4760542026435,1781364880,875951217,13.905,0.000
4760562026191,1781364880,895946941,12.641,0.000
4760582022044,1781364880,915941962,8.571,0.000
4760602020936,1781364880,935940854,5.195,0.000
4760622020213,1781364880,955939587,2.597,0.000
4760642020066,1781364880,975939440,0.000,0.000
4760662024078,1781364880,995944796,0.000,0.000
4760682021915,1781364881,15941865,0.000,0.000
4760702020327,1781364881,35939509,0.000,0.000
4760722024659,1781364881,55944865,0.000,0.000
4760742024895,1781364881,75946221,0.000,0.000
4760762027083,1781364881,95948825,0.000,0.000
4760987099750,1781364881,321026421,0.000,0.000
4761002021692,1781364881,335941450,0.000,0.000
4761022021832,1781364881,355941654,0.000,0.000
4761042020660,1781364881,375940002,1.299,0.000
4761062020992,1781364881,395940462,1.299,0.000
4761082020653,1781364881,415939995,1.299,0.000
4761102020473,1781364881,435939687,1.299,0.000
4761122020645,1781364881,455939955,1.299,0.000
4761142022577,1781364881,475943039,0.000,0.000
4761162020893,1781364881,495940555,0.000,0.000
4761182020873,1781364881,515940727,1.429,0.000
4761202023701,1781364881,535944099,1.429,0.000
4761222025345,1781364881,555945647,1.429,0.000
4761242021421,1781364881,575941019,1.299,0.000
4761262023001,1781364881,595943368,1.429,0.000
4761282020933,1781364881,615940500,1.299,0.000
4761302020658,1781364881,635940224,0.000,0.000
4761322020798,1781364881,655940012,0.000,0.000
4761342020586,1781364881,675940920,0.000,0.000
4761362021334,1781364881,695941060,0.000,0.000
4761382021634,1781364881,715941296,0.000,0.000
4761402020302,1781364881,735939932,0.000,0.000
4761422020570,1781364881,755940200,0.000,0.000
4761442025702,1781364881,775946837,0.000,0.000
4761462027571,1781364881,795948353,0.000,0.000
4761482022719,1781364881,815942445,0.000,0.000
4761502021195,1781364881,835940601,0.000,0.000
4761522020343,1781364881,855939749,0.000,0.000
4761542020931,1781364881,875940273,0.000,0.000
4761562026063,1781364881,895946653,0.000,0.000
4761582022203,1781364881,915942217,1.429,0.000
4761602021287,1781364881,935941141,1.429,0.000
4761622020659,1781364881,955940129,1.429,0.000
4761642020959,1781364881,975940429,1.429,0.000
4761662019979,1781364881,995939353,1.299,0.000
4761682020887,1781364882,15940389,1.299,0.000
4761702020483,1781364882,35939825,0.000,0.000
4761722027151,1781364882,55949949,0.000,0.000
4761742032922,1781364882,75960265,4.857,0.000
4761762031398,1781364882,95957684,16.190,0.000
4761987830841,1781364882,321757736,16.190,0.000
4762002022096,1781364882,335941150,16.190,0.000
4762022020955,1781364882,355940810,10.823,0.000
4762042027111,1781364882,375948021,8.225,0.000
4762062031251,1781364882,395952705,5.628,0.000
4762082026494,1781364882,415946124,0.000,0.000
4762102029546,1781364882,435949816,0.000,0.000
4762122024885,1781364882,455944451,0.000,0.000
4762142025377,1781364882,475946319,0.000,0.000
4762162027693,1781364882,495949371,0.000,0.000
4762182031352,1781364882,515955238,2.000,0.000
4762202097415,1781364882,536027285,2.000,0.000
4762222495875,1781364882,556424529,20.750,0.000
4762242095230,1781364882,576023468,38.750,0.000
4762262033511,1781364882,595961077,58.750,0.000
4762282084660,1781364882,616012803,71.591,0.000
4762302057823,1781364882,635984589,96.750,0.000
4762322052266,1781364882,655976856,98.182,0.000
4762342037461,1781364882,675965315,100.000,0.000
4762362032544,1781364882,695959823,100.000,0.000
4762382034348,1781364882,715961626,100.000,0.000
4762402032279,1781364882,735960262,100.000,0.000
4762422051620,1781364882,755978546,100.000,0.000
4762442028334,1781364882,775955229,100.000,0.000
4762462033914,1781364882,795961448,100.000,0.000
4762482034342,1781364882,815961524,100.000,0.000
4762502008336,1781364882,835935966,100.000,0.000
4762522039197,1781364882,855966443,100.000,0.000
4762542042793,1781364882,875970487,100.000,0.000
4762562040500,1781364882,895964482,100.000,0.000
4762582063105,1781364882,915988015,100.000,0.000
4762602036523,1781364882,935960761,96.571,0.000
4762622038327,1781364882,955962885,92.338,0.000
4762642002753,1781364882,975926639,84.004,0.000
4762662050958,1781364882,995978909,72.835,0.000
4762682035097,1781364883,15961735,60.368,0.000
4762702036260,1781364883,35962706,48.030,0.000
4762722033039,1781364883,55957053,38.106,0.000
4762742048986,1781364883,75973833,24.470,0.000
4762762030053,1781364883,95953939,1.429,0.000
4762989097671,1781364883,323126650,1.429,0.000
4763002028712,1781364883,335950583,1.429,0.000
4763022028115,1781364883,355949538,1.299,0.000
4763042026174,1781364883,375947660,1.299,0.000
4763062027337,1781364883,395948823,1.299,0.000
4763082027892,1781364883,415949731,1.667,0.000
4763102028159,1781364883,435949742,1.515,0.000
4763122027722,1781364883,455949401,1.667,0.000
4763142026741,1781364883,475948547,1.667,0.000
4763162029152,1781364883,495950735,3.095,0.000
4763182027499,1781364883,515949369,1.299,0.000
4763202027478,1781364883,535949092,1.299,0.000
4763222033730,1781364883,555959504,1.299,0.000
4763242033677,1781364883,575958363,8.571,0.000
4763262029431,1781364883,595952454,14.989,0.000
4763282031298,1781364883,615957489,25.560,0.000
4763302032430,1781364883,635956060,33.274,0.000
4763322031704,1781364883,655955623,38.940,0.000
4763342036644,1781364883,675962962,34.535,0.000
4763362038287,1781364883,695964765,40.357,0.000
4763382036346,1781364883,715962536,41.000,0.000
4763402043493,1781364883,735970835,44.000,0.000
4763422035152,1781364883,755961342,47.333,0.000
4763442140703,1781364883,776066125,46.364,0.000
4763462036934,1781364883,795962420,44.857,0.000
4763482031120,1781364883,815957215,39.134,0.000
4763502034652,1781364883,835960682,35.333,30.000
4763522032486,1781364883,855958133,29.667,67.600
4763542031185,1781364883,875955744,24.667,23.000
4763562029692,1781364883,895953643,21.288,0.000
4763582029383,1781364883,915952246,19.848,0.000
4763602028626,1781364883,935951232,15.000,0.000
4763622030653,1781364883,955953228,12.965,0.000
4763642028840,1781364883,975951414,11.147,0.000
4763662029555,1781364883,995951809,11.147,0.000
4763682030206,1781364884,15952460,10.179,0.000
4763702028808,1781364884,35950871,10.179,0.000
4763722029619,1781364884,55951937,9.470,0.000
4763742028957,1781364884,75951276,11.607,0.000
4763762029064,1781364884,95951894,56.421,0.000
4763992086498,1781364884,326015505,56.421,0.000
4764002031301,1781364884,335954867,50.361,0.000
4764022027247,1781364884,355950398,36.472,0.000
4764042026458,1781364884,375948456,24.134,0.000
4764062026308,1781364884,395947890,11.255,0.000
4764082028911,1781364884,415951453,6.710,0.000
4764102025561,1781364884,435945639,1.429,0.000
4764122028388,1781364884,455950098,1.299,0.000
4764142028910,1781364884,475951100,-0.000,0.000
4764162028793,1781364884,495950855,-0.000,0.000
4764182027715,1781364884,515949393,-0.000,0.000
4764202027406,1781364884,535947420,-0.000,0.000
4764222027480,1781364884,555948454,-0.000,0.000
4764242028770,1781364884,575949905,-0.000,0.000
4764262031597,1781364884,595958075,6.000,0.000
4764282115579,1781364884,616041033,16.000,0.000
4764302034722,1781364884,635960176,26.250,0.000
4764322032556,1781364884,655956219,28.250,0.000
4764342029879,1781364884,675955077,30.750,0.000
4764362033985,1781364884,695958256,30.985,0.000
4764382036844,1781364884,715961786,23.083,0.000
4764402032534,1781364884,735956068,16.167,0.000
4764422031073,1781364884,755954351,12.879,0.000
4764442029419,1781364884,775952185,12.121,0.000
4764462030101,1781364884,795953188,11.688,0.000
4764482031360,1781364884,815954030,10.173,0.000
4764502030122,1781364884,835952376,6.926,0.000
4764522029877,1781364884,855952451,8.442,0.000
4764542030527,1781364884,875953037,9.957,0.000
4764562031658,1781364884,895954232,9.762,0.000
4764582031220,1781364884,915953794,10.173,0.000
4764602031039,1781364884,935953805,8.874,0.000
4764622031657,1781364884,955954167,10.952,0.000
4764642030515,1781364884,975953442,10.476,0.000
4764662030142,1781364884,995952716,10.281,0.000
4764682030248,1781364885,15952662,10.498,0.000
4764702030610,1781364885,35952992,11.797,0.000
4764722030652,1781364885,55952874,11.797,0.000
4764742029798,1781364885,75952596,9.199,0.000
4764762031536,1781364885,95954814,41.299,0.000
4764991371590,1781364885,325397144,41.299,0.000
4765002031270,1781364885,335955957,25.429,0.000
4765022030000,1781364885,355954303,19.654,0.000
4765042033242,1781364885,375957673,16.537,0.000
4765062035940,1781364885,395960115,17.619,0.000
4765082033422,1781364885,415956956,16.320,0.000
4765102031288,1781364885,435954758,18.095,0.000
4765122032738,1781364885,455956112,16.905,0.000
4765142033260,1781364885,475956410,14.286,0.000
4765162032054,1781364885,495956100,14.048,0.000
4765182032448,1781364885,515956270,12.771,0.000
4765202030153,1781364885,535953880,13.853,0.000
4765222031059,1781364885,555954754,17.321,0.000
4765242030237,1781364885,575953611,19.321,0.000
4765262030503,1781364885,595953301,20.988,0.000
4765282030065,1781364885,615953439,19.798,0.000
4765302029595,1781364885,635952809,19.024,0.000
4765322029925,1781364885,655952915,16.916,0.000
4765342032495,1781364885,675957597,16.940,0.000
