monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_long_window_percent,gpu_percent
4759761964979,1781364880,95888289,29.395,0.000
4760762027083,1781364881,95948825,10.413,0.000
4761762031398,1781364882,95957684,11.462,0.000
4762762030053,1781364883,95953939,45.819,0.000
4763762029064,1781364884,95951894,23.567,0.000
4764762031536,1781364885,95954814,15.562,0.000
4765762031644,1781364886,95956362,15.361,0.000
4766762032557,1781364887,95956475,15.674,0.000
4767762032227,1781364888,95956817,18.215,0.000
4768762036669,1781364889,95963148,34.489,0.000
4769762034652,1781364890,95961259,27.962,33.000
4770762036480,1781364891,95963055,30.020,6.000
4771762036905,1781364892,95963416,31.248,66.000
4772762032407,1781364893,95958789,31.679,65.000
4773762036010,1781364894,95961336,30.521,0.000
4774762035234,1781364895,95961776,33.392,0.000
4775762033983,1781364896,95960269,35.165,64.000
4776762036865,1781364897,95964143,34.334,53.000
4777762036456,1781364898,95963351,33.265,43.000
4778762030805,1781364899,95955907,31.381,37.000
4779762035463,1781364900,95962453,29.757,36.000
4780762033918,1781364901,95959884,30.901,70.000
4781762035611,1781364902,95962121,32.166,93.000
4782762033789,1781364903,95960011,29.667,69.000
4783762034661,1781364904,95961299,30.304,67.000
4784762068851,1781364905,95995266,30.725,0.000
4785762038085,1781364906,95965331,29.060,74.000
4786762032669,1781364907,95957580,35.218,0.000
4787762033052,1781364908,95957770,23.015,0.000
